2011,P/E,Sales Surprise Pct,P/B,D/E,ROE,FCF,PEG,Market cap,EBITDA,beta,Price 2011,Price 2021
CHKP,19.4589996338,0.3319999874,3.5490999222,0,19.6970005035,735.7689819336,1.4819999933,10906.7265625,756.6088867188,0.6399000287,52.5400009155,116.5599975586
CSCO,12.8229999542,2.1619999409,2.054500103,34.4473991394,16.5039997101,9632,1.2302000523,96999.203125,11480.69921875,1.1679999828,18.0799999237,63.3699989319
CTXS,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.2828999758,60.7200012207,#LinkError
CTSH,22.5650005341,-0.5590000153,4.9152002335,0,22.6450004578,586.9301147461,1.0111999512,19429.14453125,1260.6380615234,1.1037000418,32.1549987793,88.7200012207
CMCSA,15.0059995651,1.5700000525,1.3463000059,82.4866027832,9.303899765,9038,1.1787999868,64157.71875,24364,1.0311000347,11.8549995422,50.3300018311
CEG,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COST,24.0119991302,1.5750000477,2.9008998871,18.1891002655,12.3260002136,1831,1.5039000511,36107.97265625,3318.9838867188,0.6626999974,83.3199996948,567.700012207
DELL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,56.1699981689
XRAY,17.408000946,3.8599998951,2.6287999153,79.081199646,14.6899995804,322.7799987793,1.355700016,4953.0439453125,436.549987793,1.1346000433,34.9900016785,55.7900009155
DTV,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.8231999874,42.7599983215,#LinkError
DISCK,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,0.6841999888,18.8500003815,#LinkError
DLTR,22.1630001068,1.0199999809,7.0082998276,18.3495998383,30.9619998932,433.799987793,1.0485999584,10140.333984375,900.799987793,0.3844999969,41.5550003052,140.5200042725
EBAY,17.1359996796,1.8059999943,2.1837000847,11.6541996002,13.9720001221,2310.17578125,1.3306000233,39153.91015625,2654.119140625,1.4642000198,30.3299999237,66.5
EQIX,61.0839996338,0.4140000045,2.4625000954,93.9319000244,4.7515997887,-126.1399993896,1.2791999578,4807.3740234375,688.7578735352,1.4207999706,101.4000015259,845.8400268555
EXPD,22.8829994202,-5.0799999237,4.3206000328,0,20.0340003967,379.2099914551,1.5397000313,8684.7490234375,655.7150268555,0.8560000062,40.9599990845,134.2899932861
EXPE,8.4359998703,-7.5619997978,1.6807999611,54.1948013306,17.2010002136,617.8920288086,0.7124999762,3874.5471191406,850.4970092773,1.8296999931,29.0200004578,180.7200012207
ESRX,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,#LinkError,1.0812000036,44.6899986267,#LinkError
FFIV,34.0130004883,1.2450000048,7.2080998421,0,22.1590003967,414.8670043945,1.2763999701,8434.8427734375,392.0539855957,1.4411000013,106.1200027466,244.7100067139
FAST,35.7459983826,0.67900002,8.8239002228,0,25.968000412,152,1.7113000154,12873.8466796875,619.3090209961,0.9732000232,21.8050003052,64.0599975586
FISV,12.8249998093,2.3069999218,2.5395998955,104.2050018311,20.9279994965,761,0.9253000021,8274.05859375,1531,1.0729000568,14.6850004196,103.7900009155
FOSL,17.1770000458,-1.2910000086,4.4479999542,1.364199996,27.6660003662,162.8000030518,0.7860000134,4967.6982421875,511.2120056152,1.6816999912,79.3600006104,10.2899999619
FOXA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,36.9000015259
GRMN,14.9099998474,18.2380008698,2.3736999035,0,16.6940002441,788.0999755859,1.1260999441,7729.9868164063,648.2969970703,1.3458000422,39.8100013733,136.1699981689
GILD,11.1829996109,0.7020000219,4.4769001007,112.9033966064,45.4140014648,3507.1101074219,0.7020999789,30744.16015625,4182.8911132813,0.4171000123,20.4650001526,72.6100006104
HSIC,16.2290000916,5.6220002174,2.3922998905,15.8747997284,14.7110004425,509.450012207,1.1912000179,5821.958984375,676.6049804688,0.6960999966,32.2150001526,77.5299987793
